fipscode,state,county,year,v001_rawvalue,v009_rawvalue,v011_rawvalue,v036_rawvalue,v042_rawvalue,v049_rawvalue,v060_rawvalue,v070_rawvalue,v139_rawvalue,v143_rawvalue,county_ranked
31017,NE,Brown County,2018,6278.70094,0.168945377,0.324,3.268527893,3.144251102,0.18202025,0.097,0.292,0.148,0.289086444,1
31019,NE,Buffalo County,2018,5265.091471,0.152621188,0.294,2.907276241,3.020917074,0.232874758,0.067,0.219,0.122,0.267504618,1
31021,NE,Burt County,2018,7146.920171,0.165303357,0.336,3.049699552,3.03187328,0.185432627,0.1,0.303,0.115,0.272847112,1
31023,NE,Butler County,2018,4622.235028,0.16047933,0.341,2.929714391,3.09373838,0.222688248,0.091,0.263,0.109,0.289570725,1
31025,NE,Cass County,2018,7533.896632,0.182600709,0.359,2.844968715,2.824150831,0.221626654,0.092,0.253,0.101,0.298058632,1
31027,NE,Cedar County,2018,4948.780116,0.125556302,0.312,2.637346357,2.99527199,0.201538814,0.087,0.289,0.109,0.274875143,1
31029,NE,Chase County,2018,8410.414433,0.145201319,0.309,2.897638419,2.86152141,0.185913388,0.105,0.259,0.089,0.266933473,1
31031,NE,Cherry County,2018,7614.790653,0.140456811,0.273,2.92467577,2.92556554,0.184023655,0.085,0.305,0.126,0.253395505,1
31033,NE,Cheyenne County,2018,5472.90806,0.150921941,0.308,2.955315818,2.933441218,0.220196591,0.072,0.265,0.115,0.272074853,1
31035,NE,Clay County,2018,6525.106774,0.165257329,0.318,3.015052945,3.130083261,0.186874688,0.099,0.262,0.1,0.279198877,1
31037,NE,Colfax County,2018,6088.843512,0.144024047,0.313,3.015555044,2.794278883,0.196837672,0.08,0.287,0.047,0.274514958,1
31039,NE,Cuming County,2018,4724.453482,0.138645657,0.315,2.978497819,2.930015821,0.196700943,0.09,0.282,0.111,0.257604998,1
31041,NE,Custer County,2018,6675.600648,0.154309972,0.339,2.828779955,2.851289693,0.197577414,0.102,0.284,0.12,0.262864229,1
31043,NE,Dakota County,2018,5946.616154,0.185208761,0.363,3.383229169,3.060335247,0.169842528,0.104,0.287,0.083,0.330136314,1
